2020-01-09T17:55:36.584-0500 I NETWORK  [js] Starting new replica set monitor for prod-cluster-shard-0/prod-cluster-shard-00-00-v4dbc.mongodb.net:27017,prod-cluster-shard-00-01-v4dbc.mongodb.net:27017,prod-cluster-shard-00-02-v4dbc.mongodb.net:27017
2020-01-09T17:55:36.964-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:36.967-0500 I NETWORK  [js] Successfully connected to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:37.241-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 with a 5 second timeout)
deleted-2019-11-27-nichol19, U01171073 > deleted-2020-01-09-U01171073
deleted-2019-11-27-yxt195, U01197598 > deleted-2020-01-09-U01197598
deleted-2019-11-27-stvera, U01240445 > deleted-2020-01-09-U01240445
deleted-2019-11-27-bamccoy, U01272855 > deleted-2020-01-09-U01272855
deleted-2019-11-27-lindsh, U01274493 > deleted-2020-01-09-U01274493
deleted-2019-11-27-akhimani, U01282034 > deleted-2020-01-09-U01282034
deleted-2019-11-27-ksexton, U01282296 > deleted-2020-01-09-U01282296
deleted-2019-11-27-greena, U01293320 > deleted-2020-01-09-U01293320
deleted-2019-11-27-ooakin, U01299199 > deleted-2020-01-09-U01299199
deleted-2019-11-27-lmblais, U01309115 > deleted-2020-01-09-U01309115
deleted-2019-11-27-deirdreh, U01322309 > deleted-2020-01-09-U01322309
deleted-2019-11-27-mbaker6, U01371369 > deleted-2020-01-09-U01371369
deleted-2019-11-27-frankems, U01377057 > deleted-2020-01-09-U01377057
deleted-2019-11-27-robin3z, U01380369 > deleted-2020-01-09-U01380369
deleted-2019-11-27-jcdolan, U01383834 > deleted-2020-01-09-U01383834
deleted-2019-11-27-nramchan, U01383906 > deleted-2020-01-09-U01383906
deleted-2019-11-27-namian, U01388721 > deleted-2020-01-09-U01388721
deleted-2019-11-27-bkozibay, U01395138 > deleted-2020-01-09-U01395138
deleted-2019-11-27-mphineus, U01399297 > deleted-2020-01-09-U01399297
deleted-2019-11-27-emcin, U01423785 > deleted-2020-01-09-U01423785
deleted-2019-11-27-allyferk, U01426070 > deleted-2020-01-09-U01426070
deleted-2019-11-27-aponce21, U01432497 > deleted-2020-01-09-U01432497
deleted-2019-11-27-embrand, U01435836 > deleted-2020-01-09-U01435836
deleted-2019-11-27-mbarbeau, U01448111 > deleted-2020-01-09-U01448111
deleted-2019-11-27-xiaoyw, U01464807 > deleted-2020-01-09-U01464807
deleted-2019-11-27-kmwhite, U01467903 > deleted-2020-01-09-U01467903
deleted-2019-11-27-bsalimi, U01498143 > deleted-2020-01-09-U01498143
deleted-2019-11-27-zhangyb, U01501319 > deleted-2020-01-09-U01501319
deleted-2019-11-27-lovetb, U01536825 > deleted-2020-01-09-U01536825
deleted-2019-11-27-labree, U01578315 > deleted-2020-01-09-U01578315
deleted-2019-11-27-tk1124, U01580123 > deleted-2020-01-09-U01580123
deleted-2019-11-27-jsgens, U01580899 > deleted-2020-01-09-U01580899
deleted-2019-11-27-mellis, U01595433 > deleted-2020-01-09-U01595433
deleted-2019-11-27-mmokhtar, U01614765 > deleted-2020-01-09-U01614765
deleted-2019-11-27-ghopkins, U01635500 > deleted-2020-01-09-U01635500
deleted-2019-11-27-scassidy, U01655445 > deleted-2020-01-09-U01655445
deleted-2019-11-27-beccad1, U01659162 > deleted-2020-01-09-U01659162
deleted-2019-11-27-sbso, U01706051 > deleted-2020-01-09-U01706051
deleted-2019-11-27-kathcui, U01709319 > deleted-2020-01-09-U01709319
deleted-2019-11-27-megiglio, U01709445 > deleted-2020-01-09-U01709445
deleted-2019-11-27-gandrews, U01725168 > deleted-2020-01-09-U01725168
deleted-2019-11-27-alvera44, U01739064 > deleted-2020-01-09-U01739064
deleted-2019-11-27-msherwo, U01742763 > deleted-2020-01-09-U01742763
deleted-2019-11-27-nanzhou, U01750179 > deleted-2020-01-09-U01750179
deleted-2019-11-27-ndaria, U01782417 > deleted-2020-01-09-U01782417
deleted-2019-11-27-maxvkat, U01788349 > deleted-2020-01-09-U01788349
deleted-2019-11-27-samylee, U01793073 > deleted-2020-01-09-U01793073
deleted-2019-12-27-bhenry, U01803323 > deleted-2020-01-09-U01803323
deleted-2019-11-27-sdsmith9, U01821143 > deleted-2020-01-09-U01821143
deleted-2019-11-27-kanareka, U01837777 > deleted-2020-01-09-U01837777
deleted-2019-11-27-megwiech, U01841015 > deleted-2020-01-09-U01841015
deleted-2019-11-27-dnguyen8, U01874208 > deleted-2020-01-09-U01874208
